01. CreateOccupationLabelNodes_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 
02. CreateOccupationPrefLabelNodes_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 
03. CreateSkillLabelNodes_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 
263. CreateOccupationContentItems2520_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
264. CreateOccupationContentItems2530_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
265. CreateOccupationContentItems2540_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
266. CreateOccupationContentItems2550_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
267. CreateOccupationContentItems2560_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
268. CreateOccupationContentItems2570_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
269. CreateOccupationContentItems2580_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
270. CreateOccupationContentItems2590_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
271. CreateOccupationContentItems2600_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
272. CreateOccupationContentItems2610_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
273. CreateOccupationContentItems2620_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
274. CreateOccupationContentItems2630_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
275. CreateOccupationContentItems2640_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
276. CreateOccupationContentItems2650_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
277. CreateOccupationContentItems2660_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
278. CreateOccupationContentItems2670_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
279. CreateOccupationContentItems2680_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
280. CreateOccupationContentItems2690_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
281. CreateOccupationContentItems2700_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
282. CreateOccupationContentItems2710_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
283. CreateOccupationContentItems2720_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
284. CreateOccupationContentItems2730_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
285. CreateOccupationContentItems2740_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
286. CreateOccupationContentItems2750_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
287. CreateOccupationContentItems2760_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
288. CreateOccupationContentItems2770_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
289. CreateOccupationContentItems2780_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
290. CreateOccupationContentItems2790_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
291. CreateOccupationContentItems2800_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
292. CreateOccupationContentItems2810_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
293. CreateOccupationContentItems2820_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
294. CreateOccupationContentItems2830_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
295. CreateOccupationContentItems2840_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
296. CreateOccupationContentItems2850_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
297. CreateOccupationContentItems2860_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
298. CreateOccupationContentItems2870_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
299. CreateOccupationContentItems2880_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
300. CreateOccupationContentItems2890_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
301. CreateOccupationContentItems2900_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
302. CreateOccupationContentItems2910_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
303. CreateOccupationContentItems2920_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
304. CreateOccupationContentItems2930_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
305. CreateOccupationContentItems2940_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
306. SharedContent_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 
307. QCFLevels0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
308. ApprenticeshipStandardRoutes0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 18
309. ApprenticeshipStandards0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 582
310. RequirementsPrefixes0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 11
311. ApprenticeshipLinks0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 16
312. ApprenticeshipRequirements0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 20
313. CollegeLinks0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 7
314. CollegeRequirements0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 17
315. UniversityLinks0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 10
316. UniversityRequirements0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 31
317. DayToDayTasks0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 1000
318. DayToDayTasks1_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 1000
319. DayToDayTasks2_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 1000
320. DayToDayTasks3_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 1000
321. DayToDayTasks4_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 1000
322. DayToDayTasks5_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 1000
323. DayToDayTasks6_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 339
324. OtherRequirements0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 167
325. Registrations0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 35
326. Restrictions0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 64
327. SocCodes0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 369
328. ONetOccupationalCodes0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 510
329. WorkingEnvironments0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 181
330. WorkingLocations0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 550
331. WorkingUniforms0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 11
332. JobProfiles0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 200
333. JobProfiles1_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 200
334. JobProfiles2_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 200
335. JobProfiles3_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 200
336. JobProfiles4_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 71
337. JobCategories0_881700ee-b64e-4b17-ad37-e8d3bd8345ab.recipe.json: 26
# Totals
OccupationLabels: 33036
Occupations: 2942
QCFLevels: 10
ApprenticeshipStandardRoutes: 18
ApprenticeshipStandards: 582
RequirementsPrefixes: 11
ApprenticeshipLinks: 16
ApprenticeshipRequirements: 20
CollegeLinks: 7
CollegeRequirements: 17
UniversityLinks: 10
UniversityRequirements: 31
DayToDayTasks: 6339
OtherRequirements: 167
Registrations: 35
Restrictions: 64
SocCodes: 369
ONetOccupationalCodes: 510
WorkingEnvironments: 181
WorkingLocations: 550
WorkingUniforms: 11
JobProfiles: 871
JobCategories: 26
