01. CreateOccupationLabelNodes_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
02. CreateOccupationPrefLabelNodes_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
03. CreateSkillLabelNodes_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
04. CleanUpEscoData_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
255. CreateSkillLabelContentItems66800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
256. CreateSkillLabelContentItems67200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
257. CreateSkillLabelContentItems67600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
258. CreateSkillLabelContentItems68000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
259. CreateSkillLabelContentItems68400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
260. CreateSkillLabelContentItems68800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
261. CreateSkillLabelContentItems69200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
262. CreateSkillLabelContentItems69600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
263. CreateSkillLabelContentItems70000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
264. CreateSkillLabelContentItems70400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
265. CreateSkillLabelContentItems70800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
266. CreateSkillLabelContentItems71200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
267. CreateSkillLabelContentItems71600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
268. CreateSkillLabelContentItems72000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
269. CreateSkillLabelContentItems72400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
270. CreateSkillLabelContentItems72800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
271. CreateSkillLabelContentItems73200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
272. CreateSkillLabelContentItems73600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
273. CreateSkillLabelContentItems74000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
274. CreateSkillLabelContentItems74400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
275. CreateSkillLabelContentItems74800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
276. CreateSkillLabelContentItems75200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
277. CreateSkillLabelContentItems75600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
278. CreateSkillLabelContentItems76000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
279. CreateSkillLabelContentItems76400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
280. CreateSkillLabelContentItems76800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
281. CreateSkillLabelContentItems77200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
282. CreateSkillLabelContentItems77600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
283. CreateSkillLabelContentItems78000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
284. CreateSkillLabelContentItems78400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
285. CreateSkillLabelContentItems78800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
286. CreateSkillLabelContentItems79200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
287. CreateSkillLabelContentItems79600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
288. CreateSkillLabelContentItems80000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
289. CreateSkillLabelContentItems80400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
290. CreateSkillLabelContentItems80800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
291. CreateSkillLabelContentItems81200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
292. CreateSkillLabelContentItems81600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
293. CreateSkillLabelContentItems82000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
294. CreateSkillLabelContentItems82400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
295. CreateSkillLabelContentItems82800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
296. CreateSkillLabelContentItems83200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
297. CreateSkillLabelContentItems83600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
298. CreateSkillLabelContentItems84000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
299. CreateSkillLabelContentItems84400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
300. CreateSkillLabelContentItems84800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
301. CreateSkillLabelContentItems85200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
302. CreateSkillLabelContentItems85600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
303. CreateSkillLabelContentItems86000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
304. CreateSkillLabelContentItems86400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
305. CreateSkillLabelContentItems86800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
306. CreateSkillLabelContentItems87200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
307. CreateSkillLabelContentItems87600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
308. CreateSkillLabelContentItems88000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
309. CreateSkillLabelContentItems88400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
310. CreateSkillLabelContentItems88800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
311. CreateSkillLabelContentItems89200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
312. CreateSkillLabelContentItems89600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
313. CreateSkillLabelContentItems90000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
314. CreateSkillLabelContentItems90400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
315. CreateSkillLabelContentItems90800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
316. CreateSkillLabelContentItems91200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
317. CreateSkillLabelContentItems91600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
318. CreateSkillLabelContentItems92000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
319. CreateSkillLabelContentItems92400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
320. CreateSkillLabelContentItems92800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
321. CreateSkillLabelContentItems93200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
322. CreateSkillLabelContentItems93600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
323. CreateSkillLabelContentItems94000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
324. CreateSkillLabelContentItems94400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
325. CreateSkillLabelContentItems94800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
326. CreateSkillLabelContentItems95200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
327. CreateSkillLabelContentItems95600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
328. CreateSkillLabelContentItems96000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
329. CreateSkillLabelContentItems96400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
330. CreateSkillLabelContentItems96800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
331. CreateSkillLabelContentItems97200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
332. CreateSkillLabelContentItems97600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
333. CreateSkillContentItems0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
334. CreateSkillContentItems400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
335. CreateSkillContentItems800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
336. CreateSkillContentItems1200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
337. CreateSkillContentItems1600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
338. CreateSkillContentItems2000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
339. CreateSkillContentItems2400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
340. CreateSkillContentItems2800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
341. CreateSkillContentItems3200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
342. CreateSkillContentItems3600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
343. CreateSkillContentItems4000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
344. CreateSkillContentItems4400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
345. CreateSkillContentItems4800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
346. CreateSkillContentItems5200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
347. CreateSkillContentItems5600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
348. CreateSkillContentItems6000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
349. CreateSkillContentItems6400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
350. CreateSkillContentItems6800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
351. CreateSkillContentItems7200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
352. CreateSkillContentItems7600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
353. CreateSkillContentItems8000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
354. CreateSkillContentItems8400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
355. CreateSkillContentItems8800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
356. CreateSkillContentItems9200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
357. CreateSkillContentItems9600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
358. CreateSkillContentItems10000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
359. CreateSkillContentItems10400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
360. CreateSkillContentItems10800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
361. CreateSkillContentItems11200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
362. CreateSkillContentItems11600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
363. CreateSkillContentItems12000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
364. CreateSkillContentItems12400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
365. CreateSkillContentItems12800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
366. CreateSkillContentItems13200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
367. CreateOccupationContentItems0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
368. CreateOccupationContentItems400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
369. CreateOccupationContentItems800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
370. CreateOccupationContentItems1200_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
371. CreateOccupationContentItems1600_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
372. CreateOccupationContentItems2000_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
373. CreateOccupationContentItems2400_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
374. CreateOccupationContentItems2800_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
375. EmailTemplates_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
376. ContactUsPages_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
377. QCFLevels0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 10
378. ApprenticeshipStandardRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 18
379. ApprenticeshipStandards0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
380. ApprenticeshipStandards1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 181
381. RequirementsPrefixes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 11
382. ApprenticeshipLinks0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 14
383. ApprenticeshipRequirements0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 19
384. CollegeLinks0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 6
385. CollegeRequirements0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 16
386. UniversityLinks0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 10
387. UniversityRequirements0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 31
388. DayToDayTasks0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
389. DayToDayTasks1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
390. DayToDayTasks2_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
391. DayToDayTasks3_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
392. DayToDayTasks4_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
393. DayToDayTasks5_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
394. DayToDayTasks6_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
395. DayToDayTasks7_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
396. DayToDayTasks8_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
397. DayToDayTasks9_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
398. DayToDayTasks10_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
399. DayToDayTasks11_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
400. DayToDayTasks12_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
401. DayToDayTasks13_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
402. DayToDayTasks14_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 45
403. OtherRequirements0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 175
404. Registrations0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 37
405. Restrictions0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 63
406. SocCodes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 370
407. ONetOccupationalCodes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
408. ONetOccupationalCodes1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 110
409. WorkingEnvironments0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 181
410. WorkingLocations0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
411. WorkingLocations1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 143
412. WorkingUniforms0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 11
413. ApprenticeshipRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
414. ApprenticeshipRoutes1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 221
415. CollegeRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
416. CollegeRoutes1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 29
417. UniversityRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
418. UniversityRoutes1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 49
419. DirectRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
420. DirectRoutes1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 24
421. OtherRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 279
422. VolunteeringRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 233
423. WorkRoutes0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 400
424. WorkRoutes1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 5
425. PersonalitySkill_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
426. JobProfiles0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 200
427. JobProfiles1_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 200
428. JobProfiles2_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 200
429. JobProfiles3_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 200
430. JobProfiles4_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 59
431. JobCategories0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 26
432. PersonalityTrait0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 8
433. PersonalityShortQuestion0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 40
434. PersonalityQuestionSet0_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 1
435. PersonalityFilteringQuestion_848f3786-2943-4083-ad5a-4a3703a4c0f8.recipe.json: 
# Totals
    OccupationLabels: 33036
SkillLabels: 97816
Skills: 13485
Occupations: 2942
QCFLevels: 10
ApprenticeshipStandardRoutes: 18
ApprenticeshipStandards: 581
RequirementsPrefixes: 11
ApprenticeshipLinks: 14
ApprenticeshipRequirements: 19
CollegeLinks: 6
CollegeRequirements: 16
UniversityLinks: 10
UniversityRequirements: 31
DayToDayTasks: 5645
OtherRequirements: 175
Registrations: 37
Restrictions: 63
SocCodes: 370
ONetOccupationalCodes: 510
WorkingEnvironments: 181
WorkingLocations: 543
WorkingUniforms: 11
ApprenticeshipRoutes: 621
CollegeRoutes: 429
UniversityRoutes: 449
DirectRoutes: 424
OtherRoutes: 279
VolunteeringRoutes: 233
WorkRoutes: 405
JobProfiles: 859
JobCategories: 26
PersonalityTrait: 8
PersonalityShortQuestion: 40
PersonalityQuestionSet: 1
