01. CreateOccupationLabelNodes_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
02. CreateOccupationPrefLabelNodes_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
03. CreateSkillLabelNodes_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
04. CleanUpEscoData_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
281. CreateSkillLabelContentItems77200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
282. CreateSkillLabelContentItems77600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
283. CreateSkillLabelContentItems78000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
284. CreateSkillLabelContentItems78400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
285. CreateSkillLabelContentItems78800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
286. CreateSkillLabelContentItems79200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
287. CreateSkillLabelContentItems79600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
288. CreateSkillLabelContentItems80000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
289. CreateSkillLabelContentItems80400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
290. CreateSkillLabelContentItems80800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
291. CreateSkillLabelContentItems81200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
292. CreateSkillLabelContentItems81600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
293. CreateSkillLabelContentItems82000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
294. CreateSkillLabelContentItems82400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
295. CreateSkillLabelContentItems82800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
296. CreateSkillLabelContentItems83200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
297. CreateSkillLabelContentItems83600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
298. CreateSkillLabelContentItems84000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
299. CreateSkillLabelContentItems84400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
300. CreateSkillLabelContentItems84800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
301. CreateSkillLabelContentItems85200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
302. CreateSkillLabelContentItems85600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
303. CreateSkillLabelContentItems86000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
304. CreateSkillLabelContentItems86400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
305. CreateSkillLabelContentItems86800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
306. CreateSkillLabelContentItems87200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
307. CreateSkillLabelContentItems87600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
308. CreateSkillLabelContentItems88000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
309. CreateSkillLabelContentItems88400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
310. CreateSkillLabelContentItems88800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
311. CreateSkillLabelContentItems89200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
312. CreateSkillLabelContentItems89600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
313. CreateSkillLabelContentItems90000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
314. CreateSkillLabelContentItems90400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
315. CreateSkillLabelContentItems90800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
316. CreateSkillLabelContentItems91200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
317. CreateSkillLabelContentItems91600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
318. CreateSkillLabelContentItems92000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
319. CreateSkillLabelContentItems92400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
320. CreateSkillLabelContentItems92800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
321. CreateSkillLabelContentItems93200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
322. CreateSkillLabelContentItems93600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
323. CreateSkillLabelContentItems94000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
324. CreateSkillLabelContentItems94400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
325. CreateSkillLabelContentItems94800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
326. CreateSkillLabelContentItems95200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
327. CreateSkillLabelContentItems95600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
328. CreateSkillLabelContentItems96000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
329. CreateSkillLabelContentItems96400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
330. CreateSkillLabelContentItems96800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
331. CreateSkillLabelContentItems97200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
332. CreateSkillLabelContentItems97600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
333. CreateSkillContentItems0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
334. CreateSkillContentItems400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
335. CreateSkillContentItems800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
336. CreateSkillContentItems1200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
337. CreateSkillContentItems1600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
338. CreateSkillContentItems2000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
339. CreateSkillContentItems2400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
340. CreateSkillContentItems2800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
341. CreateSkillContentItems3200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
342. CreateSkillContentItems3600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
343. CreateSkillContentItems4000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
344. CreateSkillContentItems4400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
345. CreateSkillContentItems4800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
346. CreateSkillContentItems5200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
347. CreateSkillContentItems5600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
348. CreateSkillContentItems6000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
349. CreateSkillContentItems6400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
350. CreateSkillContentItems6800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
351. CreateSkillContentItems7200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
352. CreateSkillContentItems7600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
353. CreateSkillContentItems8000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
354. CreateSkillContentItems8400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
355. CreateSkillContentItems8800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
356. CreateSkillContentItems9200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
357. CreateSkillContentItems9600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
358. CreateSkillContentItems10000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
359. CreateSkillContentItems10400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
360. CreateSkillContentItems10800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
361. CreateSkillContentItems11200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
362. CreateSkillContentItems11600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
363. CreateSkillContentItems12000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
364. CreateSkillContentItems12400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
365. CreateSkillContentItems12800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
366. CreateSkillContentItems13200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
367. CreateOccupationContentItems0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
368. CreateOccupationContentItems400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
369. CreateOccupationContentItems800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
370. CreateOccupationContentItems1200_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
371. CreateOccupationContentItems1600_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
372. CreateOccupationContentItems2000_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
373. CreateOccupationContentItems2400_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
374. CreateOccupationContentItems2800_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
375. EmailTemplates_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
376. ContactUsPages_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
377. QCFLevels0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 10
378. ApprenticeshipStandardRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 18
379. ApprenticeshipStandards0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
380. ApprenticeshipStandards1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 181
381. RequirementsPrefixes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 11
382. ApprenticeshipLinks0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 14
383. ApprenticeshipRequirements0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 19
384. CollegeLinks0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 6
385. CollegeRequirements0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 16
386. UniversityLinks0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 10
387. UniversityRequirements0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 31
388. DayToDayTasks0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
389. DayToDayTasks1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
390. DayToDayTasks2_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
391. DayToDayTasks3_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
392. DayToDayTasks4_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
393. DayToDayTasks5_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
394. DayToDayTasks6_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
395. DayToDayTasks7_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
396. DayToDayTasks8_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
397. DayToDayTasks9_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
398. DayToDayTasks10_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
399. DayToDayTasks11_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
400. DayToDayTasks12_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
401. DayToDayTasks13_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 290
402. OtherRequirements0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 162
403. Registrations0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 36
404. Restrictions0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 62
405. SocCodes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 370
406. ONetOccupationalCodes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
407. ONetOccupationalCodes1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 110
408. WorkingEnvironments0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 176
409. WorkingLocations0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
410. WorkingLocations1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 127
411. WorkingUniforms0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 10
412. ApprenticeshipRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
413. ApprenticeshipRoutes1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 211
414. CollegeRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
415. CollegeRoutes1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 15
416. UniversityRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
417. UniversityRoutes1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 42
418. DirectRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 400
419. DirectRoutes1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 13
420. OtherRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 261
421. VolunteeringRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 225
422. WorkRoutes0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 393
423. PersonalitySkill_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
424. JobProfiles0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 200
425. JobProfiles1_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 200
426. JobProfiles2_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 200
427. JobProfiles3_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 200
428. JobProfiles4_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 33
429. JobCategories0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 26
430. PersonalityTrait0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 8
431. PersonalityShortQuestion0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 40
432. PersonalityQuestionSet0_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 1
433. PersonalityFilteringQuestion_d6687821-e163-444a-88b4-f970e991e190.recipe.json: 
# Totals
    OccupationLabels: 33036
SkillLabels: 97816
Skills: 13485
Occupations: 2942
QCFLevels: 10
ApprenticeshipStandardRoutes: 18
ApprenticeshipStandards: 581
RequirementsPrefixes: 11
ApprenticeshipLinks: 14
ApprenticeshipRequirements: 19
CollegeLinks: 6
CollegeRequirements: 16
UniversityLinks: 10
UniversityRequirements: 31
DayToDayTasks: 5490
OtherRequirements: 162
Registrations: 36
Restrictions: 62
SocCodes: 370
ONetOccupationalCodes: 510
WorkingEnvironments: 176
WorkingLocations: 527
WorkingUniforms: 10
ApprenticeshipRoutes: 611
CollegeRoutes: 415
UniversityRoutes: 442
DirectRoutes: 413
OtherRoutes: 261
VolunteeringRoutes: 225
WorkRoutes: 393
JobProfiles: 833
JobCategories: 26
PersonalityTrait: 8
PersonalityShortQuestion: 40
PersonalityQuestionSet: 1
